"check_id","check_name","resource","reported_path"
"CKV_AZURE_36","Ensure 'Trusted Microsoft Services' is enabled for Storage Account access","azurerm_storage_account.state","/bootstrap/backend/main.tf"
"CKV_AZURE_59","Ensure that Storage accounts disallow public access","azurerm_storage_account.state","/bootstrap/backend/main.tf"
"CKV_AZURE_33","Ensure Storage logging is enabled for Queue service for read, write and delete requests","azurerm_storage_account.state","/bootstrap/backend/main.tf"
"CKV_AZURE_206","Ensure that Storage Accounts use replication","azurerm_storage_account.state","/bootstrap/backend/main.tf"
"CKV_AZURE_160","Ensure that HTTP (port 80) access is restricted from the internet","module.app_infrastructure.module.network.azurerm_network_security_group.web","/modules/network/main.tf"
"CKV_AZURE_110","Ensure that key vault enables purge protection","module.app_infrastructure.module.security.azurerm_key_vault.main","/modules/security/main.tf"
"CKV_AZURE_42","Ensure the key vault is recoverable","module.app_infrastructure.module.security.azurerm_key_vault.main","/modules/security/main.tf"
"CKV_AZURE_36","Ensure 'Trusted Microsoft Services' is enabled for Storage Account access","module.app_infrastructure.module.storage.azurerm_storage_account.main","/modules/storage/main.tf"
"CKV_AZURE_59","Ensure that Storage accounts disallow public access","module.app_infrastructure.module.storage.azurerm_storage_account.main","/modules/storage/main.tf"
"CKV_AZURE_33","Ensure Storage logging is enabled for Queue service for read, write and delete requests","module.app_infrastructure.module.storage.azurerm_storage_account.main","/modules/storage/main.tf"
"CKV_AZURE_206","Ensure that Storage Accounts use replication","module.app_infrastructure.module.storage.azurerm_storage_account.main","/modules/storage/main.tf"
"CKV2_AZURE_32","Ensure private endpoint is configured to key vault","module.app_infrastructure.module.security.azurerm_key_vault.main","/main.tf"
"CKV2_AZURE_33","Ensure storage account is configured with private endpoint","azurerm_storage_account.state","/main.tf"
"CKV2_AZURE_33","Ensure storage account is configured with private endpoint","module.app_infrastructure.module.storage.azurerm_storage_account.main","/main.tf"
"CKV2_AZURE_1","Ensure storage for critical data are encrypted with Customer Managed Key","azurerm_storage_account.state","/main.tf"
"CKV2_AZURE_1","Ensure storage for critical data are encrypted with Customer Managed Key","module.app_infrastructure.module.storage.azurerm_storage_account.main","/main.tf"
"CKV2_AZURE_21","Ensure Storage logging is enabled for Blob service for read requests","azurerm_storage_container.state","/main.tf"
"CKV2_AZURE_21","Ensure Storage logging is enabled for Blob service for read requests","module.app_infrastructure.module.storage.azurerm_storage_container.data","/main.tf"
"CKV2_AZURE_21","Ensure Storage logging is enabled for Blob service for read requests","module.app_infrastructure.module.storage.azurerm_storage_container.logs","/main.tf"
"CKV2_AZURE_21","Ensure Storage logging is enabled for Blob service for read requests","module.app_infrastructure.module.storage.azurerm_storage_container.backups","/main.tf"
